"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NXF1",0.471543332926203,-0.489290496122151,0.139,0.159,1
"PRKCDBP",0.471623171380477,0.275489552660911,0.028,0.023,1
"INCA1",0.471763137479849,-0.515613031546426,0.01,0.009,1
"TEP1",0.472527903515487,-0.548343938478272,0.061,0.063,1
"EGOT",0.472661584726551,-0.36758931424228,0.031,0.035,1
"LOC100129550",0.473413715740097,-0.41240126273583,0.014,0.01,1
"MAP3K3",0.473598352037965,-0.626072060582725,0.053,0.058,1
"GUCY1B1",0.473600527387003,-0.890150759213701,0.02,0.021,1
"LINC01715",0.473715400708208,-0.463636283474564,0.013,0.015,1
"MON2",0.474183885255345,-0.283165982594521,0.162,0.166,1
"IL17RA",0.474210810720135,-0.37567928695887,0.095,0.101,1
"PCDH7",0.474501396114174,-0.267976288036547,0.03,0.024,1
"TSG1",0.474657356536899,-0.291556580176685,0.02,0.02,1
"OTULIN",0.474714252901663,-0.475813975164459,0.059,0.072,1
"TCAF2",0.475240855101737,-0.28770166740718,0.045,0.045,1
"SMPDL3B",0.475300471495482,0.351839006675316,0.087,0.079,1
"AL121820.2",0.475533520632287,0.267495500784357,0.031,0.034,1
"ZNF559",0.475761954287745,-0.486046705768271,0.039,0.045,1
"KCTD10",0.475876356781389,-0.357965511531809,0.099,0.105,1
"CNTRL",0.475905899904618,-0.348491427897939,0.07,0.074,1
"KDR",0.476829170396774,-0.580082301214651,0.012,0.01,1
"SYNPO",0.477004087819865,-0.620694105746738,0.044,0.049,1
"FOXO6",0.477118910448663,-0.687423236374903,0.015,0.018,1
"TFEB",0.477392707426406,-0.277927163022989,0.04,0.041,1
"BMP2K",0.477531776000691,-0.304408622917878,0.072,0.077,1
"HSD17B13",0.477846953775755,-1.32695573106727,0.017,0.018,1
"CREBBP",0.478547961281095,-0.264186470080234,0.189,0.2,1
"WWTR1",0.478730082823663,-0.30853571484891,0.166,0.18,1
"ZNF200",0.479208991275473,-0.315552523589929,0.051,0.055,1
"USP43",0.480060579479731,-0.342753483509953,0.031,0.033,1
"ZBTB18",0.480156976091952,-0.650490468436981,0.044,0.051,1
"EVI5L",0.480243843579786,-0.326917764026495,0.027,0.029,1
"C17orf85",0.480290843122416,0.554643640944802,0.018,0.014,1
"PSMD6-AS2",0.480415397287198,-0.709120532761092,0.011,0.01,1
"ZNF418",0.480561397774009,-0.410473504467907,0.022,0.024,1
"TRIM36",0.480769513573554,0.467091753483914,0.047,0.048,1
"ANKRD13A",0.480842795452653,-0.352016705074577,0.079,0.086,1
"RAET1L",0.481240359072557,0.337422972695594,0.011,0.013,1
"LTBP1",0.481269217103866,-0.281406617683093,0.073,0.076,1
"TRDMT1",0.481732178624585,-0.293506017175072,0.055,0.057,1
"SPAG6",0.481969955083431,-0.732701133506316,0.035,0.039,1
"THBS2",0.482602830169669,-1.02552884892032,0.047,0.039,1
"PSRC1",0.482784812854462,-0.319761484509803,0.053,0.049,1
"TRPM4",0.482868862277281,-0.912842976408524,0.131,0.147,1
"MGC27345",0.483028277633038,-0.698056162100269,0.02,0.021,1
"PRKD2",0.483030267274827,-0.408773365295937,0.11,0.118,1
"METTL21B",0.483706724573022,-0.441201488894593,0.017,0.018,1
"LOC388692",0.483769017405476,-0.891136854235955,0.016,0.013,1
"CASC15",0.484076922961981,-0.429555737998956,0.054,0.061,1
"LOC643623",0.48430926688288,-0.597295757904845,0.014,0.011,1
"NT5C3A",0.484926258836192,-0.278361035042772,0.193,0.201,1
"SLC4A1",0.485036714951136,-2.40313359328388,0.014,0.009,1
"FAM160B2",0.485811417626725,-0.323487364193456,0.111,0.119,1
"RHOJ",0.486596590794323,-0.289287796311068,0.022,0.019,1
"ABHD2",0.486728947783732,-0.259676483876367,0.27,0.277,1
"IRAK1BP1",0.486913776586395,-0.296095970535767,0.043,0.05,1
"MIA3",0.48696981275879,-0.480326199387614,0.222,0.239,1
"DSTNP2",0.486973343558519,-0.584640170876298,0.01,0.008,1
"ARAP2",0.487374260918284,-0.534257432507865,0.055,0.068,1
"ALDH3A2",0.487561901062186,-0.309191446852814,0.185,0.193,1
"PMS2P1",0.487647488825754,-0.404933525884609,0.01,0.01,1
"SQRDL",0.487773986713642,0.429424727710239,0.016,0.018,1
"CHD3",0.487862678974238,-0.354956053145698,0.221,0.238,1
"TRIM58",0.488269234751587,-0.538836784969593,0.035,0.031,1
"SP4",0.488373009024566,-0.426350425552439,0.048,0.053,1
"FP565260.1",0.488376430725635,-0.3542887671726,0.02,0.021,1
"AC105999.2",0.488809808599755,-1.10546434595696,0.009,0.011,1
"IRGM",0.488919443549671,-1.32697079398629,0.012,0.008,1
"PRND",0.489335265145066,-2.07457126354188,0.015,0.012,1
"SDHA",0.489387923309424,-0.263895750776387,0.251,0.256,1
"LAMB1",0.490038433874997,-0.785810351593283,0.051,0.05,1
"GRASP",0.490091684735355,-0.619794769281514,0.012,0.01,1
"WDR97",0.490273347595282,-1.12630015850925,0.014,0.015,1
"SLC35D1",0.490627079828387,-0.370004452570683,0.048,0.054,1
"TMEM161A",0.490655987379763,-0.273238867507327,0.139,0.143,1
"ALG6",0.491239553875017,-0.308209404444238,0.087,0.095,1
"DSTYK",0.491424401188894,-0.279472820812114,0.121,0.129,1
"TLE6",0.491430607798788,-0.305468875356318,0.038,0.047,1
"HMGN5",0.49246468836062,0.269955202867449,0.088,0.089,1
"C8orf37-AS1",0.492515038949544,-0.440352541932111,0.014,0.015,1
"ATG16L2",0.492922000980579,-0.489134772385681,0.089,0.092,1
"MGC2752",0.493303183373239,0.561550632509821,0.016,0.013,1
"ETS1",0.493682100105442,-0.453306178492674,0.054,0.046,1
"JOSD1",0.493814498585967,-0.405077607020889,0.13,0.141,1
"FZD2",0.494145182877491,-0.873124247750076,0.026,0.022,1
