"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GLYCTK",1.06217697602436e-101,-2.46064697347696,0.116,0.655,3.99994605631253e-97
"SLC37A4",2.0874080349815e-101,-2.29333159673666,0.224,0.807,7.86076117813332e-97
"FNDC5",2.16034909765115e-101,-4.66806343883274,0.005,0.295,8.13544263193471e-97
"RBP4",5.76680233876421e-101,-3.34083185211944,0.377,0.829,2.17166242473183e-96
"BHMT",8.81352537645191e-101,-3.56368896398175,0.036,0.433,3.31899738626426e-96
"ALB",1.09953635031474e-100,-2.02575762711454,0.636,1,4.14063398801526e-96
"MT-CO3",2.64113565562357e-100,-1.7325956439066,0.973,1,9.94598865194724e-96
"LINC01595",7.51640776786487e-100,-7.2720415345051,0.001,0.262,2.83052883722255e-95
"MT-CO1",2.91164586365318e-99,-1.53425953130189,0.98,1,1.09646759933452e-94
"DAO",2.93838306758749e-99,-2.86331487990897,0.03,0.407,1.1065362955921e-94
"XDH",3.45199178699497e-99,-2.49715563956883,0.029,0.411,1.29995106714657e-94
"PLVAP",3.80075524938761e-99,-5.72800472703883,0.002,0.269,1.43128841181439e-94
"TDO2",1.77133398973008e-98,-2.36191844347917,0.208,0.796,6.67048953852555e-94
"CLDN14",4.59914913608124e-98,-3.68959284943589,0.017,0.353,1.73194758166548e-93
"VTN",5.58293604131096e-98,-1.86053045458827,0.573,0.989,2.10242205443688e-93
"APOC3",6.26662452131875e-98,-2.83217209086203,0.314,0.833,2.35988546223821e-93
"FBP1",7.98469254137287e-98,-2.42529825672374,0.096,0.6,3.00687551723019e-93
"INSIG1",2.45978627852307e-97,-2.78928543830764,0.31,0.829,9.26306316766218e-93
"GPX3",2.70994835666568e-97,-2.0349982655349,0.271,0.865,1.02051235215316e-92
"KHK",4.49711740813829e-97,-2.45171940363127,0.166,0.724,1.69352447355672e-92
"TGFBI",5.6882847193449e-97,-2.14526211601914,0.161,0.724,2.1420942596109e-92
"RP11-798K3.2",9.73250671828081e-97,-2.50644535027767,0.058,0.505,3.66506737997019e-92
"RPS26",2.50630850643944e-96,2.13508206435522,0.956,0.96,9.43825657354963e-92
"SLC27A2",3.5242801835041e-96,-2.58197119811933,0.075,0.545,1.32717343150397e-91
"SLC43A1",5.31093551922224e-96,-2.45237055373006,0.106,0.618,1.99999209782871e-91
"ALDH5A1",2.76258059105727e-95,-2.67771738319177,0.074,0.535,1.04033259898035e-90
"APOF",1.26780944971669e-94,-3.85261585606403,0.015,0.331,4.77431682574312e-90
"ECI2",1.81473326787191e-94,-2.30015494373527,0.222,0.782,6.83392254015205e-90
"MT-CYB",2.50210368833312e-94,-1.53656867659119,0.927,1,9.42242206952488e-90
"BBOX1",3.62260660081044e-94,-2.72766833172461,0.03,0.396,1.3642011937332e-89
"C6",6.95749532413918e-94,-2.79544840907417,0.046,0.451,2.62005358916433e-89
"F5",8.62250448420381e-94,-1.81131472881406,0.187,0.804,3.24706273866147e-89
"SPARC",9.15117664998495e-94,-2.84344491729055,0.026,0.382,3.44615010285133e-89
"RAMP1",1.07687319516131e-93,-2.2596478979472,0.303,0.815,4.05528907833845e-89
"EPHX1",1.82015617153838e-93,-2.16213846849768,0.338,0.88,6.85434411077924e-89
"ABCA8",2.18830861561436e-93,-3.53243686466928,0.02,0.345,8.24073258468056e-89
"FGGY",1.55192846300805e-92,-2.04123918142165,0.195,0.753,5.84425220599573e-88
"SEPP1",2.18138701952695e-92,-1.84977121997165,0.562,0.989,8.2146672381346e-88
"CAT",2.34877815054632e-92,-2.13336871148343,0.215,0.785,8.84502875932731e-88
"MTTP",1.0241881016668e-91,-2.5627367342114,0.076,0.535,3.85688755325683e-87
"CDO1",1.04230811518777e-91,-1.95391780799344,0.068,0.531,3.92512390017411e-87
"AADAC",2.18229569626221e-91,-1.47675455875463,0.208,0.833,8.21808913298421e-87
"ARG1",2.29859011253597e-91,-2.11561624639355,0.098,0.604,8.65603064578796e-87
"SERPINF1",2.45517014163545e-91,-2.37779039367625,0.338,0.833,9.24567971937076e-87
"CYP7A1",1.12648359039812e-90,-3.63576170207677,0.017,0.331,4.24211190472125e-86
"PBLD",1.21785100812394e-90,-2.86532396567804,0.045,0.44,4.58618332639313e-86
"HIST1H1C",1.59190028210486e-90,-1.76894152514614,0.358,0.942,5.99477808235049e-86
"CYP4A22",2.29577889231335e-90,-5.61738458326278,0.006,0.269,8.64544415267362e-86
"APOA1",2.88883057800899e-90,-2.16362425649475,0.246,0.818,1.08787581906662e-85
"SERPING1",4.19471705789861e-90,-2.01539165978983,0.492,0.945,1.57964654966346e-85
"TM4SF5",6.07455476468186e-90,-1.96781866913436,0.236,0.811,2.28755583328389e-85
"SGIP1",1.19240614916127e-89,-7.38234909151666,0.001,0.236,4.49036307651151e-85
"APBB3",1.60608959243438e-89,-2.73504892447498,0.05,0.451,6.0482121871894e-85
"ALDH6A1",1.90820111827663e-89,-2.35846119980629,0.132,0.644,7.18590377120614e-85
"HGD",3.84689303684212e-89,-1.61301702805466,0.181,0.771,1.44866297981401e-84
"MT-ATP6",5.63134745727971e-89,-1.558559074047,0.94,1,2.12065282546239e-84
"MT-ND4",1.57075374957588e-88,-1.34152383720614,0.967,1,5.91514447015287e-84
"FGF21",5.25778080806956e-88,-3.0017322964303,0.026,0.364,1.97997509670284e-83
"PHYHD1",1.34790076196415e-87,-4.51847410932664,0.008,0.276,5.07592468940459e-83
"FCGRT",7.42776643455257e-87,-1.73100694901656,0.412,0.935,2.79714828392381e-82
"CRYL1",9.60463709924341e-87,-2.27606802578861,0.194,0.716,3.61691423883308e-82
"AR",1.31144768511996e-86,-2.55997106201146,0.05,0.444,4.93864969262476e-82
"FAH",2.46785827523305e-85,-2.14654688056297,0.184,0.716,9.29346069287261e-81
"AC004862.6",4.0818445253558e-85,-3.04950724869971,0.03,0.367,1.53714101135849e-80
"ACOT13",4.32113862766496e-85,-2.03772611950965,0.234,0.778,1.62725438440607e-80
"PPARGC1A",1.20822344155418e-84,-2.40799349277718,0.057,0.465,4.54992783620472e-80
"FGA",3.33508740398909e-84,-2.01675004187417,0.426,0.916,1.25592721459421e-79
"BDH1",5.77608464136334e-84,-2.25703978273929,0.06,0.469,2.17515795424461e-79
"MRGPRF",3.62437652601716e-83,-4.08763798540522,0.012,0.287,1.36486771216754e-78
"ST6GAL1",6.28144671959281e-83,-2.27047495159138,0.146,0.651,2.36546720566426e-78
"ABCA6",7.1653420009691e-83,-2.71983532287895,0.038,0.393,2.69832449072494e-78
"ALDH1A1",7.26355416095169e-83,-1.44716314005031,0.256,0.84,2.73530922593119e-78
"HSD17B8",8.58835205044151e-83,-2.20569939742454,0.188,0.698,3.23420161515526e-78
"SERPINF2",1.25879441564783e-82,-1.8116632031133,0.235,0.807,4.74036801044659e-78
"RNF5",1.33678748406083e-82,-1.78317276755233,0.322,0.869,5.03407430747628e-78
