"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RBAK",0.0472003990192925,-0.644707682070449,0.047,0.056,1
"SLC22A15",0.047486313295267,-0.678309171725042,0.019,0.017,1
"TMEM191B",0.0475429400460153,-0.623884101250144,0.031,0.038,1
"MSN",0.0477059589825637,-0.424679800686808,0.172,0.181,1
"INTS6L",0.0477126359924354,-0.960583485611982,0.019,0.023,1
"CEP76",0.0478341095552231,-0.451184471846703,0.027,0.029,1
"PPFIBP1",0.0478342463924111,-0.32231347879548,0.185,0.19,1
"LRP1B",0.0478481539080576,0.474230094855441,0.009,0.01,1
"NAV1",0.047927171281706,-0.544678204643648,0.091,0.104,1
"NIN",0.0479891630046552,-0.384343293436396,0.092,0.096,1
"AL022323.1",0.048259971834268,-0.70659944559137,0.013,0.018,1
"NAA30",0.0483320465928694,-0.276576199055364,0.087,0.095,1
"TCEANC",0.048344171138095,-0.322481183062733,0.016,0.021,1
"C19orf44",0.048392892200142,-0.476991059804269,0.032,0.032,1
"D2HGDH",0.0484180531946392,-0.409037866144472,0.163,0.152,1
"AC124242.1",0.0484440550015344,-0.572462505302406,0.007,0.01,1
"ZBTB21",0.0484772937556621,-0.445881371478694,0.039,0.046,1
"EPHA1-AS1",0.0484886912632347,-0.75616341519038,0.009,0.01,1
"AC092164.1",0.0487392353868235,0.760521372809397,0.019,0.011,1
"CERCAM",0.0487420610729605,-0.259586927356993,0.124,0.105,1
"NUP205",0.0488370722515075,-0.302853742878113,0.081,0.092,1
"SYAP1",0.0488588657342021,-0.308527632915477,0.344,0.341,1
"ZNF48",0.0489580927707182,-0.475722808723379,0.044,0.052,1
"ANGEL1",0.0490328509461116,-0.521889603087877,0.048,0.06,1
"WFDC3",0.0490858384976633,-0.384203903505953,0.017,0.026,1
"MTMR6",0.0490990222809623,-0.44891300384523,0.073,0.083,1
"AC026691.1",0.0491110892501352,0.678549932808964,0.011,0.008,1
"TRAPPC10",0.0491293300876617,-0.679170913750001,0.024,0.028,1
"ZNF613",0.0491374595093455,-0.286480009759248,0.03,0.036,1
"LTB4R",0.0492378614807963,-0.778999601257596,0.03,0.032,1
"TSIX",0.0493001703238636,-0.259666233929592,0.025,0.029,1
"TSPAN8",0.0493165600520113,0.558216586883032,0.012,0.008,1
"VMAC",0.0494262356966645,0.310918219729562,0.069,0.061,1
"MYOM2",0.0494671909480538,0.669152443712274,0.011,0.012,1
"EOGT",0.0494752243551114,-0.33249914971738,0.045,0.052,1
"AC008268.1",0.0494867347240776,-0.278632551455296,0.057,0.067,1
"SFN",0.0495501047408271,-0.50207381890851,0.206,0.221,1
"FYN",0.0496309579525359,-0.909890488429503,0.018,0.021,1
"ASPM",0.0497329343473541,-0.556446453312526,0.023,0.031,1
"ZNF347",0.0498085918091444,-0.29490478421239,0.036,0.041,1
"SH2B3",0.049876765810369,-0.930901155367899,0.011,0.017,1
"INKA2",0.0499684868950248,0.427174351803523,0.017,0.012,1
"NRSN2-AS1",0.0502332372679186,0.420644686919809,0.034,0.029,1
"ITIH6",0.0502437684238542,0.531930177449975,0.035,0.027,1
"MNS1",0.0502726023885588,0.434316213427421,0.029,0.023,1
"MTUS1",0.0503674650176567,-0.250538914868975,0.153,0.171,1
"TMEM42",0.0504689525293435,0.308011979787034,0.123,0.111,1
"KDELC1",0.0505031248107297,-0.541774609215692,0.012,0.019,1
"AC128688.2",0.0506511390436084,-0.430245242881195,0.014,0.018,1
"ZBTB6",0.0506550995289256,-0.621368826936837,0.038,0.047,1
"TUBGCP3",0.0508849044969677,-0.42452378509709,0.071,0.085,1
"TNFRSF1B",0.0510446844193543,-0.544116792051089,0.017,0.021,1
"ADA",0.0512731753150722,-0.267088197323693,0.036,0.043,1
"CASC1",0.0512797599200427,0.37928722365721,0.026,0.021,1
"ITGB8",0.0512927108287484,-0.555403086096431,0.095,0.117,1
"N4BP2L2",0.0516337631842488,-0.300477090779284,0.354,0.371,1
"MYCBPAP",0.0517228038450726,-0.349244855298033,0.009,0.011,1
"ERVMER34-1",0.05173011908749,0.28948113942203,0.022,0.018,1
"MED17",0.0517385592469855,-0.275675767053032,0.08,0.089,1
"CCDC134",0.0518256824600966,-0.400110320189697,0.021,0.023,1
"IL2RB",0.0518315701594086,-1.16976207559915,0.011,0.015,1
"TRIM68",0.0518380053531808,0.382881069163501,0.025,0.017,1
"SLC6A6",0.0519470599894961,-0.500395580451059,0.06,0.066,1
"CEP164",0.0519655876688701,-0.271154650058077,0.099,0.101,1
"ZNF792",0.0519993700302715,-0.264828014019801,0.013,0.015,1
"SCD",0.0521516111601043,-0.283211083328958,0.193,0.207,1
"TRRAP",0.0524015211201516,-0.281294061888386,0.105,0.114,1
"SPSB2",0.052491793977121,-0.427568902639444,0.043,0.051,1
"SLC12A7",0.0525195369019502,-0.3109865292394,0.144,0.164,1
"ORC1",0.0527246118729955,-0.267354990949848,0.008,0.012,1
"PTPN20",0.0527817149422093,0.360317476404824,0.035,0.032,1
"EIF3C",0.0528923316158426,-0.349346271497435,0.048,0.059,1
"NBPF19",0.0529344234402,-0.290283603263375,0.121,0.13,1
"SERHL2",0.0529421343211089,0.900953569152002,0.14,0.128,1
"CBS",0.0530861834183377,-0.327258086191832,0.011,0.018,1
"MMP9",0.0531364483937017,-0.643800542260386,0.018,0.017,1
"LKAAEAR1",0.0531614308187565,-0.786795390087488,0.011,0.017,1
"DDX49",0.0533435747161245,-0.273887037401851,0.179,0.194,1
"NR4A1",0.0533680253744246,0.39868391450066,0.197,0.176,1
"TTC39A-AS1",0.0534286187453547,0.402060929661308,0.025,0.022,1
"TRIP6",0.0534769062244422,-0.291575788537668,0.242,0.25,1
"CIZ1",0.0536068805589618,-0.296209122820043,0.136,0.153,1
"ALYREF",0.0536226006083608,-0.469850809085892,0.06,0.076,1
"CD2AP",0.0538639430137918,-0.311220386933718,0.201,0.218,1
"TOR1AIP2",0.0538884401290905,-0.377586553283761,0.165,0.187,1
"PRR19",0.0540997728782439,-0.358823597317483,0.023,0.028,1
"ANXA2R",0.0541620674846342,-0.672381267807818,0.016,0.02,1
"SLC25A33",0.0542012123651497,-0.268288459875311,0.133,0.128,1
"NCS1",0.054243411191972,-0.356924305407082,0.021,0.028,1
"AC106869.1",0.0544113108855088,0.338919491054741,0.023,0.02,1
"SMG5",0.0545145493254738,-0.32101971936803,0.175,0.188,1
"RNF216",0.0545445379778498,-0.317407354386755,0.159,0.171,1
"SH3BP5L",0.0545571063200697,-0.366791074918487,0.075,0.089,1
"SFRP1",0.0546604948886819,-0.264070040743347,0.122,0.128,1
"ZYG11B",0.0547224374363157,-0.282727778411382,0.095,0.106,1
"FO393418.1",0.0547241803851469,-0.353340156912577,0.005,0.01,1
"TTLL7",0.0548455275439228,0.375633713102882,0.055,0.045,1
"MANEAL",0.0548921330533832,0.471027122031387,0.032,0.03,1
"PICALM",0.0550915132673126,-0.330093679906369,0.129,0.147,1
"C21orf58",0.0551156055600048,-0.710203763550758,0.051,0.062,1
"MTFR1",0.055205279907706,0.300778208358708,0.158,0.145,1
"SCLT1",0.0552255347075084,-0.280805013419553,0.054,0.059,1
"PLCB3",0.0552772827812313,-0.319300322609144,0.063,0.078,1
"SECTM1",0.0553210931226867,-0.908101886379224,0.025,0.034,1
