"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"HDHD3",3.38380345107569e-05,-1.13517579346367,0.186,0.256,1,"HDHD3"
"IRF3",3.3863215899816e-05,0.286925145451108,0.44,0.334,1,"IRF3"
"FAM133CP",3.38786036588885e-05,0.6447766389414,0.103,0.052,1,"FAM133CP"
"ZNF726",3.42566616196009e-05,0.788637474628805,0.091,0.043,1,"ZNF726"
"TP53AIP1",3.42633287548257e-05,1.1122202178276,0.077,0.034,1,"TP53AIP1"
"ABHD4",3.43215088489482e-05,-0.679650368688501,0.297,0.373,1,"ABHD4"
"TMEM212",3.45092865238196e-05,-0.42837113971463,0.963,0.941,1,"TMEM212"
"ELOVL3",3.45148136008146e-05,5.00351249108614,0.03,0.006,1,"ELOVL3"
"DMWD",3.48186215270997e-05,0.79498229975413,0.195,0.122,1,"DMWD"
"TMEM176A",3.49451318655614e-05,1.53194889446573,0.034,0.008,1,"TMEM176A"
"UBLCP1",3.5148907128726e-05,0.315649165864862,0.48,0.381,1,"UBLCP1"
"TMEM164",3.52695879751066e-05,0.473645373280408,0.293,0.206,1,"TMEM164"
"RAP2A",3.54109708507587e-05,0.317554844331271,0.224,0.146,1,"RAP2A"
"LONRF3",3.55139599946102e-05,-2.38076572431776,0.005,0.032,1,"LONRF3"
"SNRNP200",3.55148685919787e-05,0.307666833091047,0.874,0.8,1,"SNRNP200"
"ETS2",3.5590275669729e-05,0.372104003174793,0.192,0.122,1,"ETS2"
"TEF",3.56599575593343e-05,-1.26393587934395,0.056,0.108,1,"TEF"
"POLR3F",3.57696768676209e-05,0.572152307095375,0.254,0.174,1,"POLR3F"
"INE1",3.60014548667663e-05,-0.287012926548145,0.481,0.339,1,"INE1"
"TNPO3",3.60499145920628e-05,-0.672130407348461,0.398,0.464,1,"TNPO3"
"MCF2",3.60841609581166e-05,1.80366733157232,0.03,0.006,1,"MCF2"
"PPP1R9B",3.6135258223328e-05,0.265305996178118,0.137,0.077,1,"PPP1R9B"
"KCNJ18",3.62030650890194e-05,3.10203967838727,0.03,0.006,1,"KCNJ18"
"OCEL1",3.62992985532769e-05,0.3531237517424,0.249,0.168,1,"OCEL1"
"MRPL20",3.63813743488387e-05,0.393976324565289,0.741,0.669,1,"MRPL20"
"TTC3",3.64508612495074e-05,-0.305993301150129,0.804,0.833,1,"TTC3"
"MRPL32",3.64568005299024e-05,0.283465817629036,0.579,0.484,1,"MRPL32"
"SNRPN",3.65219218535626e-05,0.543106617401955,0.718,0.648,1,"SNRPN"
"NR1H4",3.65846717243709e-05,0.465149286234249,0.054,0.019,1,"NR1H4"
"LOC284080",3.66223379877024e-05,-3.52872658350763,0,0.021,1,"LOC284080"
"SAA2-SAA4",3.66223379877024e-05,-3.3444731753879,0,0.021,1,"SAA2-SAA4"
"JOSD1",3.67218787199008e-05,-0.47313615445037,0.762,0.556,1,"JOSD1"
"H2BFXP",3.68716729466451e-05,2.60829052565453,0.026,0.004,1,"H2BFXP"
"HAT1",3.7022903417689e-05,0.305807879392235,0.554,0.445,1,"HAT1"
"DACT1",3.70458705547014e-05,2.26131486258427,0.03,0.006,1,"DACT1"
"PPP1R27",3.72259274910538e-05,1.87561566902218,0.02,0.002,1,"PPP1R27"
"ARPC1A",3.74366925943826e-05,0.32573145481214,0.852,0.825,1,"ARPC1A"
"GFRA3",3.76307658775564e-05,-2.28622559233909,0.011,0.044,1,"GFRA3"
"C11orf95",3.76341748984873e-05,0.381637374673852,0.105,0.054,1,"C11orf95"
"UBQLN2",3.76599363946212e-05,0.301895869548745,0.562,0.453,1,"UBQLN2"
"DYNAP",3.76926437062028e-05,-0.505052038210703,0.4,0.262,1,"DYNAP"
"FAM50B",3.77261731085861e-05,1.05398996140391,0.131,0.075,1,"FAM50B"
"CLSTN1",3.77900247017085e-05,-0.929117933408236,0.411,0.463,1,"CLSTN1"
"ZC3H7B",3.79838379013697e-05,0.442373702280071,0.469,0.372,1,"ZC3H7B"
"ACVR1",3.81111326500558e-05,-1.40477366665306,0.14,0.202,1,"ACVR1"
"CERS2",3.81401671151199e-05,-0.351630717781407,0.703,0.729,1,"CERS2"
"GCK",3.81568702784436e-05,2.56678262476578,0.03,0.006,1,"GCK"
"CBLN2",3.84055069028787e-05,5.77192007256196,0.017,0.001,1,"CBLN2"
"LOC100286793",3.84326194498925e-05,0.483786746707683,0.065,0.026,1,"LOC100286793"
"CPN2",3.84406009510646e-05,-0.30856834376322,0.236,0.145,1,"CPN2"
"ARFIP2",3.84493199780673e-05,0.254384784760363,0.696,0.551,1,"ARFIP2"
"NEUROD2",3.84957720702136e-05,1.11738444580875,0.017,0.001,1,"NEUROD2"
"CT45A6",3.84957720702136e-05,2.43612487508689,0.017,0.001,1,"CT45A6"
"MEIS3",3.85556751828469e-05,1.37930620304391,0.046,0.015,1,"MEIS3"
"DCXR",3.8722131581943e-05,-0.441049990629893,0.686,0.728,1,"DCXR"
"MUC21",3.89536618695936e-05,-0.394113120053021,0.126,0.067,1,"MUC21"
"PGPEP1L",3.90665798725825e-05,0.366575925246895,0.052,0.018,1,"PGPEP1L"
"SLC9A9",3.93847750037718e-05,-3.06489116821307,0.017,0.053,1,"SLC9A9"
"FLJ35024",3.94088869100183e-05,1.5811075719773,0.04,0.011,1,"FLJ35024"
"FGFR4",3.94390282356545e-05,0.309888098043134,0.066,0.027,1,"FGFR4"
"ATP6V1G2-DDX39B",3.95020714358557e-05,2.45331810386432,0.017,0.001,1,"ATP6V1G2-DDX39B"
"PRSS56",3.95020714358557e-05,1.75754570842279,0.017,0.001,1,"PRSS56"
"SNORD42A",4.00370943556134e-05,1.07414850893255,0.035,0.009,1,"SNORD42A"
"ELOVL4",4.00747336166447e-05,0.495802077162317,0.052,0.018,1,"ELOVL4"
"SSSCA1",4.0177638141655e-05,0.267229428623044,0.441,0.328,1,"SSSCA1"
"KDELR3",4.01875640493703e-05,-1.03211859850642,0.309,0.375,1,"KDELR3"
"ADM5",4.02231915964533e-05,1.5641382018624,0.04,0.011,1,"ADM5"
"MID2",4.04351430000719e-05,-1.94982697162127,0.061,0.114,1,"MID2"
"GADD45GIP1",4.06170309600646e-05,0.344239807955071,0.612,0.489,1,"GADD45GIP1"
"CAPS",4.06374089754405e-05,-1.46934330498482,0.146,0.21,1,"CAPS"
"MFSD1",4.07233334151338e-05,-0.748223334573421,0.424,0.476,1,"MFSD1"
"ZNF746",4.0736593756455e-05,0.961075541717469,0.125,0.069,1,"ZNF746"
"MAMLD1",4.0868458895614e-05,-1.15825483824923,0.101,0.164,1,"MAMLD1"
"DBNDD1",4.14264087995417e-05,-0.916421700384624,0.237,0.306,1,"DBNDD1"
"CNN2",4.14919333792948e-05,0.782765807717785,0.602,0.489,1,"CNN2"
"MSRB2",4.15771719139137e-05,0.417208762233257,0.241,0.158,1,"MSRB2"
"MTIF3",4.16643636471617e-05,0.327656615374978,0.502,0.398,1,"MTIF3"
"PPP1R1C",4.16686938660747e-05,-1.87723100908816,0.016,0.052,1,"PPP1R1C"
"MSRB1",4.18722833783441e-05,0.407661896930395,0.33,0.246,1,"MSRB1"
"CNNM4",4.20532071698719e-05,0.42480494003633,0.142,0.081,1,"CNNM4"
"ZNF557",4.20602533737708e-05,0.456262589141001,0.842,0.703,1,"ZNF557"
"LOC100131691",4.22403474805545e-05,-0.597929468751087,0.406,0.277,1,"LOC100131691"
"E2F5",4.23527983833641e-05,0.763330133497445,0.067,0.028,1,"E2F5"
"TOM1",4.27961323310413e-05,0.347299341065191,0.571,0.481,1,"TOM1"
"BORA",4.28152050645016e-05,1.05720316532703,0.12,0.066,1,"BORA"
"CRY1",4.28451443764247e-05,0.496369384366043,0.284,0.205,1,"CRY1"
"FAM188A",4.30244865988765e-05,0.374052674857967,0.299,0.22,1,"FAM188A"
"ITSN1",4.30355472327533e-05,0.355383092908002,0.41,0.322,1,"ITSN1"
"INCENP",4.32217409333599e-05,0.402862216536522,0.211,0.138,1,"INCENP"
"CYCS",4.37980461156025e-05,0.323497303202736,0.97,0.924,1,"CYCS"
"ORMDL2",4.38452411459986e-05,-0.589139510566861,0.426,0.485,1,"ORMDL2"
"FLJ42351",4.39625454036357e-05,-1.85644665628493,0.006,0.034,1,"FLJ42351"
"AASDH",4.41138783563646e-05,0.923156339816563,0.369,0.29,1,"AASDH"
