"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"CENPT",2.0324815213842e-12,0.410053309934733,0.483,0.303,7.65391891322863e-08,"CENPT"
"CIZ1",2.04223972454457e-12,0.719622225907839,0.463,0.308,7.69066635468994e-08,"CIZ1"
"NXT1",2.04810728076136e-12,0.668912705512286,0.49,0.332,7.71276239789114e-08,"NXT1"
"LTV1",2.07143219902905e-12,0.588426542358935,0.451,0.297,7.80059937510358e-08,"LTV1"
"MAGEC2",2.07588657048586e-12,-2.17705296633576,0.105,0.216,7.81737364713565e-08,"MAGEC2"
"EPS15L1",2.08945422230295e-12,0.386719063869287,0.501,0.32,7.86846671034845e-08,"EPS15L1"
"BCRP3",2.10738960829145e-12,1.55625701639194,0.099,0.024,7.93600778690393e-08,"BCRP3"
"TCOF1",2.10978672915045e-12,0.612960614215116,0.529,0.373,7.94503486463477e-08,"TCOF1"
"TNFRSF1B",2.11169674661285e-12,-0.776535167618749,0.486,0.277,7.95222760839468e-08,"TNFRSF1B"
"C1orf233",2.12257175481575e-12,1.4627397091155,0.127,0.041,7.99318071428517e-08,"C1orf233"
"TSPAN9",2.12690914197468e-12,0.438165576506978,0.258,0.124,8.00951444684824e-08,"TSPAN9"
"DNASE2",2.13109931335859e-12,-1.32854782132052,0.525,0.567,8.02529379424578e-08,"DNASE2"
"CDC45",2.13957135103913e-12,0.677071166108442,0.18,0.073,8.05719779374314e-08,"CDC45"
"VPS13A",2.15580106083145e-12,-1.33333174432865,0.328,0.45,8.11831563487906e-08,"VPS13A"
"SARNP",2.17385898989063e-12,0.714562727256253,0.677,0.531,8.18631818413015e-08,"SARNP"
"XKR7",2.21294062171777e-12,1.97841005057226,0.042,0,8.33349179326479e-08,"XKR7"
"SMPD2",2.2139956654598e-12,0.585708848405669,0.258,0.13,8.33746487698851e-08,"SMPD2"
"KIAA1549L",2.22381596438619e-12,-1.50978484828228,0.143,0.268,8.37444615868551e-08,"KIAA1549L"
"FAM69B",2.23471685146506e-12,0.814010489702653,0.252,0.124,8.41549671924714e-08,"FAM69B"
"LAMTOR2",2.25880851784889e-12,0.357626696985532,0.769,0.654,8.50622111651535e-08,"LAMTOR2"
"PLSCR3",2.26232581748515e-12,0.894597884819857,0.344,0.202,8.51946656348558e-08,"PLSCR3"
"MCOLN3",2.29151113982665e-12,-2.23196020205586,0.338,0.43,8.6293726503592e-08,"MCOLN3"
"LOC286177",2.29395298263073e-12,-0.431637148389207,0.244,0.111,8.6385681419908e-08,"LOC286177"
"FBXO48",2.30266029660598e-12,-0.263844796361989,0.522,0.305,8.67135814495881e-08,"FBXO48"
"FAM96A",2.31460383360541e-12,0.506757868772092,0.696,0.587,8.71633511659126e-08,"FAM96A"
"SYF2",2.32431946610926e-12,0.591697584779111,0.724,0.57,8.75292224547424e-08,"SYF2"
"CNOT10",2.32910003303932e-12,0.594733798428457,0.574,0.395,8.77092490441946e-08,"CNOT10"
"LINC00673",2.33864451415925e-12,-0.736549371011184,0.61,0.685,8.80686751142091e-08,"LINC00673"
"ISLR",2.35901919204752e-12,0.644615568948307,0.12,0.037,8.88359447341254e-08,"ISLR"
"NCAPD2",2.38151877891378e-12,0.834803637463044,0.481,0.319,8.96832341763352e-08,"NCAPD2"
"OSBPL6",2.41055601475551e-12,-2.26312664458367,0.067,0.172,9.07767184036628e-08,"OSBPL6"
"NUDT3",2.41262978758135e-12,0.675904383700494,0.224,0.103,9.08548125407385e-08,"NUDT3"
"ZNF670-ZNF695",2.41576897195364e-12,0.304208556648769,0.191,0.08,9.09730279458302e-08,"ZNF670-ZNF695"
"MYL12B",2.42865958181345e-12,-0.31284953335749,0.898,0.882,9.14584625319307e-08,"MYL12B"
"SLC25A13",2.42878448722841e-12,0.773930414210142,0.701,0.575,9.14631662200475e-08,"SLC25A13"
"CCDC34",2.42995791915979e-12,0.907117573131309,0.334,0.198,9.15073553197195e-08,"CCDC34"
"HIST1H2BF",2.43024712325603e-12,0.733858885228165,0.118,0.035,9.15182461675757e-08,"HIST1H2BF"
"WDR67",2.45974737644046e-12,1.15358785769434,0.202,0.09,9.26291667019948e-08,"WDR67"
"CBX7",2.46700779386525e-12,-1.74272809159432,0.072,0.181,9.29025795013774e-08,"CBX7"
"TGFBR2",2.51832599009606e-12,-1.23129401799974,0.176,0.311,9.48351201350374e-08,"TGFBR2"
"POU2F2",2.52892559151077e-12,0.709495807772824,0.092,0.021,9.52342799251126e-08,"POU2F2"
"FAM35A",2.53805148959772e-12,1.02461480999698,0.256,0.129,9.55779429952711e-08,"FAM35A"
"IK",2.59522891994713e-12,0.606459049831145,0.724,0.621,9.77311306673691e-08,"IK"
"DNMBP",2.6259052694179e-12,1.19339741055471,0.201,0.09,9.88863406357393e-08,"DNMBP"
"MACC1",2.69719979361777e-12,-0.426312780492195,0.586,0.344,1.01571149828058e-07,"MACC1"
"CDC25A",2.71351046897766e-12,1.61978115621433,0.117,0.035,1.02185377240761e-07,"CDC25A"
"ADAM33",2.73705185033343e-12,2.47955629688186,0.197,0.085,1.03071898579856e-07,"ADAM33"
"MYOD1",2.74745825501396e-12,4.8545397194626,0.045,0.001,1.03463782967316e-07,"MYOD1"
"TICRR",2.74764953492785e-12,1.49583392394754,0.118,0.036,1.03470986186313e-07,"TICRR"
"DAZAP1",2.75587282450741e-12,0.553689703522053,0.394,0.229,1.037806588253e-07,"DAZAP1"
"NHLRC1",2.75732419263737e-12,0.686527055398463,0.254,0.124,1.03835314446338e-07,"NHLRC1"
"BNIP3",2.84084924425368e-12,0.701662325090964,0.592,0.437,1.06980700840105e-07,"BNIP3"
"DOCK1",2.84741963583688e-12,0.790691857132526,0.401,0.244,1.07228128646345e-07,"DOCK1"
"MRPL1",2.88708381861482e-12,0.646109252337325,0.401,0.255,1.08721802441397e-07,"MRPL1"
"CEP95",2.89665727646802e-12,0.611607177244186,0.496,0.341,1.09082319717233e-07,"CEP95"
"C7orf29",2.89913035115986e-12,2.11008212477244,0.086,0.018,1.09175450763978e-07,"C7orf29"
"LOC387895",2.90103555657519e-12,-2.32819917559054,0.011,0.084,1.09247196989509e-07,"LOC387895"
"RRP1B",2.93224139317926e-12,0.635408211810843,0.531,0.366,1.10422346384344e-07,"RRP1B"
"DHCR7",2.9489560678476e-12,0.938033276435043,0.244,0.121,1.11051787603005e-07,"DHCR7"
"SUGP2",2.95479539172275e-12,0.419670755981418,0.782,0.551,1.11271684861495e-07,"SUGP2"
"KDM6B",2.95662575195413e-12,0.659389434719188,0.36,0.202,1.11340612567089e-07,"KDM6B"
"TEKT4P2",2.97074173708241e-12,-0.953172778520051,0.66,0.694,1.11872192335049e-07,"TEKT4P2"
"GPR89A",2.99146580761414e-12,0.35745272226993,0.537,0.364,1.12652619383133e-07,"GPR89A"
"CP",3.01340892203154e-12,-4.42071803795539,0.027,0.111,1.13478953185864e-07,"CP"
"FIBCD1",3.02493147000574e-12,-5.52374744925164,0.004,0.067,1.13912869297476e-07,"FIBCD1"
"CPA1",3.04597883910098e-12,3.71355402075014,0.05,0.003,1.14705471122865e-07,"CPA1"
"ITPKB",3.0505473916767e-12,0.620265018386243,0.47,0.325,1.14877513675761e-07,"ITPKB"
"UBE2F-SCLY",3.05483769169057e-12,1.5736710878007,0.112,0.033,1.15039077793684e-07,"UBE2F-SCLY"
"CLDN19",3.05600426020512e-12,-1.03114302296066,0.302,0.15,1.15083008430804e-07,"CLDN19"
"CHRNG",3.09111064344374e-12,3.28619583108801,0.061,0.007,1.16405044610804e-07,"CHRNG"
"COA1",3.10258363961582e-12,0.571599095107901,0.928,0.793,1.16837094700652e-07,"COA1"
"MTO1",3.14264654278364e-12,0.810194893967137,0.308,0.171,1.18345783508146e-07,"MTO1"
"C17orf107",3.14537330277783e-12,2.68397074319914,0.052,0.003,1.18448467836007e-07,"C17orf107"
"PRKACA",3.16986295091956e-12,0.969504969291485,0.247,0.122,1.19370699005729e-07,"PRKACA"
"PQLC3",3.17748915264981e-12,-1.04935425627845,0.252,0.392,1.19657886510487e-07,"PQLC3"
"TUBG1",3.20251794385312e-12,0.806223576180946,0.6,0.474,1.20600420729621e-07,"TUBG1"
"LOC155060",3.20922798632177e-12,-2.84678854780231,0.266,0.366,1.20853107508905e-07,"LOC155060"
"TP53BP2",3.21393843504905e-12,0.621069128085149,0.468,0.295,1.21030493587077e-07,"TP53BP2"
"ORMDL3",3.24568476914847e-12,-1.62268823000925,0.204,0.33,1.22225997036593e-07,"ORMDL3"
"PARK7",3.30916050637578e-12,0.37117947720315,0.931,0.899,1.24616366349099e-07,"PARK7"
"PIANP",3.34119328785625e-12,3.05773951575208,0.061,0.007,1.25822656834091e-07,"PIANP"
"WDR82",3.34912547272173e-12,0.372092481865891,0.769,0.54,1.26121367051755e-07,"WDR82"
"LDB2",3.35996813953892e-12,3.14738461285557,0.095,0.024,1.26529680198756e-07,"LDB2"
"NMRK1",3.3634934095773e-12,-1.68153061620471,0.192,0.318,1.26662434817862e-07,"NMRK1"
"RUVBL1",3.36434283679022e-12,0.906444235690337,0.519,0.379,1.26694422547846e-07,"RUVBL1"
"CCDC23",3.42021820593249e-12,1.04722711001163,0.362,0.215,1.28798577199006e-07,"CCDC23"
"EMP3",3.42092337938746e-12,-0.670093693332832,0.712,0.767,1.28825132620973e-07,"EMP3"
"C10orf32-AS3MT",3.43568449076639e-12,0.760089932047895,0.224,0.105,1.29381006553281e-07,"C10orf32-AS3MT"
"MRPS5",3.44500246134285e-12,0.510841599452532,0.635,0.495,1.29731902689249e-07,"MRPS5"
"GTF3C3",3.48505322730905e-12,0.677734749926592,0.493,0.337,1.31240134434004e-07,"GTF3C3"
"IGF2BP3",3.49635191567048e-12,0.614399408988585,0.238,0.115,1.31665620440319e-07,"IGF2BP3"
"TSPAN7",3.50386657039291e-12,-0.90723955935901,0.222,0.366,1.31948607307856e-07,"TSPAN7"
"SLC2A4RG",3.54939232573964e-12,0.875162166384537,0.153,0.056,1.33663016202703e-07,"SLC2A4RG"
"ACTN1",3.55609281377248e-12,-0.702602639123699,0.617,0.72,1.33915343181044e-07,"ACTN1"
"PARP11",3.57845530227776e-12,-0.302179412682942,0.577,0.337,1.34757469773176e-07,"PARP11"
"PEX19",3.63843847057394e-12,0.415740432194948,0.686,0.528,1.37016315924874e-07,"PEX19"
"ABCB6",3.64844881308763e-12,0.675220494719364,0.433,0.278,1.37393285403254e-07,"ABCB6"
"TP53RK",3.66083717159532e-12,0.391545412381093,0.672,0.503,1.37859806207937e-07,"TP53RK"
"DZIP1",3.68048264768028e-12,0.451178376477497,0.419,0.243,1.38599615546344e-07,"DZIP1"
"FDFT1",3.74180550414522e-12,-0.367450873465078,0.754,0.826,1.40908911675101e-07,"FDFT1"
"TOR3A",3.75207147149211e-12,0.345729234758264,0.446,0.282,1.4129550747345e-07,"TOR3A"
"MED6",3.79699181777859e-12,0.407636258431909,0.621,0.411,1.42987117873906e-07,"MED6"
"SNX27",3.8143356919297e-12,0.410036768210763,0.938,0.843,1.43640253486689e-07,"SNX27"
"PIM3",3.81482708166321e-12,-1.28624958642064,0.327,0.443,1.43658758241273e-07,"PIM3"
"SNAP29",3.8273301627779e-12,0.519899461088277,0.9,0.737,1.4412959926989e-07,"SNAP29"
"EPHA1-AS1",3.83243880953e-12,-0.50063812171329,0.5,0.288,1.44321980689281e-07,"EPHA1-AS1"
"ZNF766",3.850890129533e-12,0.370109245547402,0.616,0.405,1.45016820497954e-07,"ZNF766"
"TARS",3.85154128457667e-12,0.473528650069931,0.688,0.509,1.45041341694588e-07,"TARS"
"AAAS",3.85792344243061e-12,0.702133094154101,0.516,0.365,1.45281680995052e-07,"AAAS"
"UBE2Z",3.88706277596758e-12,-1.00888807247266,0.339,0.468,1.46379010017387e-07,"UBE2Z"
"CHUK",3.90099744223738e-12,1.0204066616315,0.173,0.071,1.46903761679775e-07,"CHUK"
"DNALI1",3.91019068937674e-12,0.784406782965601,0.17,0.067,1.47249960980549e-07,"DNALI1"
"KIF24",3.92905197191902e-12,1.00367904595344,0.137,0.047,1.47960239158527e-07,"KIF24"
"TRIM13",3.95906522433501e-12,0.464010965365213,0.833,0.655,1.49090478218008e-07,"TRIM13"
"YARS",3.97446070097142e-12,0.449899706496356,0.637,0.45,1.49670241077182e-07,"YARS"
"DYNC1I2",4.11419940265501e-12,0.321005864284755,0.786,0.604,1.54932521105182e-07,"DYNC1I2"
"DHX34",4.1530521061003e-12,0.505919429435367,0.337,0.186,1.56395636211525e-07,"DHX34"
"SPRN",4.17595196895006e-12,1.4027832934473,0.096,0.024,1.57257999246721e-07,"SPRN"
"MEG3",4.24338544905084e-12,-0.766403390492945,0.431,0.244,1.59797409240357e-07,"MEG3"
"PARP4",4.2511132011743e-12,-1.06551839701364,0.337,0.46,1.60088420929822e-07,"PARP4"
"ARL2",4.25632100778934e-12,-0.523468074385126,0.731,0.78,1.60284536511331e-07,"ARL2"
"MGAT5",4.35016102373743e-12,-0.818228720340699,0.362,0.493,1.63818363831904e-07,"MGAT5"
"HSPA4",4.36458741491196e-12,0.559614440715075,0.747,0.611,1.64361632870754e-07,"HSPA4"
"CARKD",4.45094896320359e-12,0.369101770248724,0.446,0.279,1.67613836056321e-07,"CARKD"
"SCMH1",4.57822767491752e-12,0.686765576642867,0.441,0.279,1.72406897782044e-07,"SCMH1"
"SNHG3",4.64119754279617e-12,0.719694811851227,0.701,0.596,1.74778217066618e-07,"SNHG3"
"BCOR",4.64803479918775e-12,1.19778073603115,0.405,0.285,1.75035694467812e-07,"BCOR"
"THAP8",4.64845496818429e-12,0.912812724720779,0.221,0.104,1.75051517191884e-07,"THAP8"
"EIF1AX",4.65889316293713e-12,0.431793094673552,0.812,0.694,1.75444598729886e-07,"EIF1AX"
"RPN1",4.6808835819942e-12,-0.531491072128206,0.791,0.829,1.76272713930738e-07,"RPN1"
"SYAP1",4.72908071914543e-12,0.494413237079525,0.925,0.761,1.78087721721579e-07,"SYAP1"
"CENPK",4.79220484405447e-12,1.1244411381071,0.246,0.123,1.80464850017403e-07,"CENPK"
"PAFAH1B2",4.88316421370284e-12,0.29491246096403,0.955,0.852,1.83890197959621e-07,"PAFAH1B2"
"LOC100506834",4.98127365676512e-12,-0.451899090776685,0.557,0.332,1.87584803366461e-07,"LOC100506834"
"VPS36",4.99193969060157e-12,0.713588973045425,0.509,0.343,1.87986464868674e-07,"VPS36"
"CCDC137",5.00509368661084e-12,0.744565365277011,0.52,0.375,1.88481818050391e-07,"CCDC137"
"TFIP11",5.02699787118674e-12,0.671748434829212,0.557,0.395,1.8930668583315e-07,"TFIP11"
"GTF2H2D",5.05334171165421e-12,0.641844274267696,0.438,0.269,1.90298742177474e-07,"GTF2H2D"
"WBP1L",5.09642435957181e-12,0.551040348873814,0.337,0.192,1.91921148532755e-07,"WBP1L"
"CHRNB1",5.10734819540694e-12,0.538986642771559,0.837,0.627,1.92332518342634e-07,"CHRNB1"
"CNTN2",5.12036525186607e-12,3.55314564386252,0.077,0.015,1.92822714654772e-07,"CNTN2"
"ALG1L9P",5.14060958263375e-12,-0.550053599412258,0.584,0.353,1.93585075662822e-07,"ALG1L9P"
"PTPRE",5.17266887910343e-12,-1.96579319927049,0.032,0.12,1.94792364649277e-07,"PTPRE"
"DDX6",5.20323914490682e-12,0.647503379894174,0.796,0.714,1.95943579718901e-07,"DDX6"
"RC3H1",5.2845287394768e-12,0.588854863022492,0.724,0.62,1.99004783271217e-07,"RC3H1"
"KCNQ1OT1",5.31841988559511e-12,-0.549819578490597,0.999,0.996,2.00281056051741e-07,"KCNQ1OT1"
"PTPMT1",5.34225103945773e-12,-0.986491596806908,0.448,0.57,2.01178489643899e-07,"PTPMT1"
"LAMP3",5.35987987926e-12,-0.565363031446298,0.501,0.286,2.01842356493173e-07,"LAMP3"
"HOXB-AS5",5.40360618666749e-12,2.03898774248026,0.08,0.016,2.03489001777525e-07,"HOXB-AS5"
"LOC399715",5.44030458383311e-12,0.466646186607822,0.349,0.19,2.04870990017987e-07,"LOC399715"
"FAM84A",5.47210955589241e-12,3.15085951113179,0.07,0.011,2.06068701655796e-07,"FAM84A"
"XRN2",5.48319350910585e-12,0.572652625641873,0.763,0.622,2.06486101165908e-07,"XRN2"
"C2orf44",5.51076168370271e-12,0.964654260587466,0.263,0.136,2.07524263484877e-07,"C2orf44"
"CBFA2T3",5.51615944268851e-12,2.99985093666152,0.054,0.004,2.07727532292764e-07,"CBFA2T3"
"GAGE12F",5.52800865749017e-12,2.22457501743982,0.054,0.004,2.08173750023765e-07,"GAGE12F"
"CACNA1A",5.55741428110239e-12,2.28868302301774,0.072,0.012,2.09281106997754e-07,"CACNA1A"
"ROBO2",5.65112911662001e-12,1.25752646880698,0.141,0.051,2.12810220273676e-07,"ROBO2"
"HMGB2",5.66086046952903e-12,1.63958904063162,0.364,0.241,2.13176683561524e-07,"HMGB2"
"DNAJB7",5.7240711157346e-12,-0.419701070166091,0.314,0.162,2.15557070076333e-07,"DNAJB7"
"MARK4",5.74308897700045e-12,0.862873385092039,0.193,0.085,2.16273244695883e-07,"MARK4"
"EPHB2",5.77211554379899e-12,3.31498832472461,0.066,0.01,2.17366327148382e-07,"EPHB2"
"KREMEN2",5.81531933173568e-12,3.37328110384091,0.066,0.01,2.18993295394502e-07,"KREMEN2"
"LRP5L",5.91189842089709e-12,1.41790628042303,0.113,0.034,2.22630270734143e-07,"LRP5L"
"INO80E",5.92706479646269e-12,0.288373406789577,0.304,0.156,2.23201406105192e-07,"INO80E"
"TMEM223",5.96225018066147e-12,0.61993754975045,0.456,0.302,2.2452641730335e-07,"TMEM223"
"NTRK3",5.99384314912403e-12,4.55017310504429,0.06,0.007,2.25716145309713e-07,"NTRK3"
"NRBF2",6.03797593439186e-12,0.617941412150255,0.434,0.282,2.27378097737329e-07,"NRBF2"
"MAP7D1",6.04616364045847e-12,0.39353181396043,0.267,0.135,2.27686430372385e-07,"MAP7D1"
"WIBG",6.06930223497772e-12,1.10163898391585,0.338,0.205,2.28557783564791e-07,"WIBG"
"SCML4",6.07547428948593e-12,0.490553011591067,0.667,0.451,2.28790210793461e-07,"SCML4"
"PTN",6.09690863039653e-12,4.85375350178143,0.046,0.002,2.29597385203473e-07,"PTN"
"DPP3",6.11562465328527e-12,0.906541276972436,0.397,0.258,2.30302193193417e-07,"DPP3"
"TCF7L1",6.11914697158975e-12,1.10534725802532,0.214,0.101,2.30434836656127e-07,"TCF7L1"
"GORAB",6.28278142230288e-12,0.893532724273693,0.357,0.216,2.36596982801082e-07,"GORAB"
"HOTAIRM1",6.31421425576931e-12,1.47958445159187,0.197,0.091,2.37780680443761e-07,"HOTAIRM1"
"PRKXP1",6.31942140170023e-12,0.536872517887726,0.751,0.557,2.37976771145227e-07,"PRKXP1"
"LOC100287036",6.33182773197277e-12,0.324544082088811,0.236,0.109,2.38443968730631e-07,"LOC100287036"
"MLLT3",6.33454633577281e-12,0.700634339199051,0.231,0.112,2.38546345912532e-07,"MLLT3"
"CCND1",6.35136417031333e-12,-2.32936633128668,0.658,0.803,2.39179671925659e-07,"CCND1"
"SLC41A1",6.35404100321163e-12,0.477627099680504,0.439,0.286,2.39280476098943e-07,"SLC41A1"
"FAM195B",6.39775378741349e-12,0.490986106944481,0.815,0.678,2.40926612126417e-07,"FAM195B"
"EIF3A",6.40554155959582e-12,0.46950773598671,0.804,0.752,2.41219884051259e-07,"EIF3A"
"AGBL1",6.4066505972876e-12,2.49353263176262,0.066,0.01,2.41261648192656e-07,"AGBL1"
"PIGM",6.42352582683224e-12,0.747443169215455,0.732,0.627,2.41897135586849e-07,"PIGM"
"GAGE10",6.45359516213264e-12,1.05612452844542,0.046,0.002,2.43029486615591e-07,"GAGE10"
"TRAIP",6.46487114838549e-12,0.469626208924545,0.161,0.064,2.43454117705901e-07,"TRAIP"
"GAL3ST3",6.47991547198432e-12,4.2607315857963,0.049,0.003,2.44020656843985e-07,"GAL3ST3"
"PLEKHG6",6.54428746654339e-12,0.719643002645746,0.214,0.097,2.46444777415091e-07,"PLEKHG6"
"KRT27",6.56201950821138e-12,-3.64521322490331,0.01,0.079,2.47112530640224e-07,"KRT27"
"CIB2",6.57127739862366e-12,1.00244717716192,0.115,0.034,2.4746116427737e-07,"CIB2"
"MFAP3L",6.64904794333215e-12,-1.43078226510665,0.084,0.194,2.50389847450002e-07,"MFAP3L"
"NUP133",6.65884503688869e-12,0.836892929787678,0.514,0.35,2.50758786399154e-07,"NUP133"
"PDZD2",6.70601042239573e-12,2.73521593754215,0.13,0.045,2.52534940486578e-07,"PDZD2"
"DDX3Y",6.80022786446735e-12,-0.983203795493989,0.273,0.402,2.56082980920111e-07,"DDX3Y"
"DNAJA2",6.92571239564129e-12,0.520223723609874,0.682,0.512,2.6080847739506e-07,"DNAJA2"
"GALNT7",6.97402850305695e-12,-1.66430374206197,0.102,0.213,2.62627965368119e-07,"GALNT7"
"GSG2",7.01571446022426e-12,2.1243956157013,0.136,0.048,2.64197775143125e-07,"GSG2"
"COL24A1",7.0292829357063e-12,-2.3684063002198,0.029,0.112,2.64708736792828e-07,"COL24A1"
"C1orf74",7.122582353133e-12,0.836833923246932,0.171,0.07,2.68222206254282e-07,"C1orf74"
"IFLTD1",7.15233610025689e-12,-0.318329046050704,0.463,0.261,2.69342672863474e-07,"IFLTD1"
"GPCPD1",7.15317135950445e-12,0.530527056929068,0.335,0.188,2.69374127056219e-07,"GPCPD1"
"GPR125",7.15891033206621e-12,1.05071534178932,0.277,0.143,2.69590245284949e-07,"GPR125"
"HSF2",7.16957366052223e-12,0.580880110731002,0.335,0.195,2.69991804907946e-07,"HSF2"
"SUOX",7.19130313075347e-12,0.468174609419753,0.3,0.165,2.70810093297914e-07,"SUOX"
"FGFBP2",7.23275912277072e-12,-2.92261344721572,0.026,0.108,2.723712430453e-07,"FGFBP2"
"FLJ27354",7.24234271192054e-12,-1.74418321498944,0.062,0.161,2.72732141845504e-07,"FLJ27354"
"ZNF410",7.25286570117894e-12,0.294195592641094,0.617,0.416,2.73128416574997e-07,"ZNF410"
"CCDC120",7.29268897429124e-12,0.254694717463102,0.564,0.345,2.7462808139386e-07,"CCDC120"
"LUC7L",7.30358434911128e-12,0.641431486015597,0.579,0.412,2.75038379418833e-07,"LUC7L"
"MTBP",7.35449515999714e-12,0.644898584331124,0.223,0.104,2.76955578735172e-07,"MTBP"
"C2orf83",7.38990569744467e-12,0.453460873455558,0.596,0.372,2.78289068754372e-07,"C2orf83"
"ZNF678",7.45370277536276e-12,0.362399257973889,0.246,0.118,2.80691539114611e-07,"ZNF678"
"FAM83E",7.48087848429559e-12,0.38328939351358,0.327,0.173,2.81714921961603e-07,"FAM83E"
"LOC100505676",7.49948642014427e-12,-0.599287428199966,0.392,0.213,2.82415659609793e-07,"LOC100505676"
"MARCH5",7.51862248155176e-12,0.250547782357768,0.403,0.244,2.83136285410276e-07,"MARCH5"
"KSR1",7.54401537375479e-12,0.765306662152485,0.103,0.028,2.84092530944858e-07,"KSR1"
"MRPS24",7.65779412938712e-12,0.497156737639957,0.748,0.654,2.8837721132446e-07,"MRPS24"
"PAK1",7.71106844894290e-12,0.727890734843683,0.354,0.213,2.90383415650292e-07,"PAK1"
"CTNS",7.7173923816422e-12,0.405694447836489,0.525,0.347,2.90621562307882e-07,"CTNS"
"SNHG1",7.72603221407467e-12,0.738857647453242,0.631,0.536,2.90946921117624e-07,"SNHG1"
"RNF5",7.75106257361408e-12,0.717646051600812,0.126,0.04,2.91889514397159e-07,"RNF5"
"FBXO28",7.77906570183377e-12,0.621279769630963,0.458,0.298,2.92944056199656e-07,"FBXO28"
"RUFY2",7.78880261890926e-12,0.40694178308809,0.421,0.254,2.93310729022885e-07,"RUFY2"
"C19orf25",7.9345660980714e-12,0.451615567734317,0.401,0.24,2.98799890121173e-07,"C19orf25"
"PLEKHM1",7.96473250938028e-12,-1.59350012185704,0.364,0.465,2.99935896838242e-07,"PLEKHM1"
"ZBED6",8.03163554841524e-12,0.669691562160374,0.57,0.42,3.02455331482221e-07,"ZBED6"
"HSD17B10",8.12782073580707e-12,0.737822752444293,0.648,0.538,3.06077473269023e-07,"HSD17B10"
"GLO1",8.14865721606916e-12,0.397572935695845,0.754,0.637,3.06862133442733e-07,"GLO1"
"CRIP2",8.17439500288379e-12,-0.730084380639552,0.461,0.594,3.07831367018598e-07,"CRIP2"
"CDK16",8.29594274044032e-12,0.718944107121916,0.607,0.45,3.12408611719502e-07,"CDK16"
"GON4L",8.34596541578381e-12,0.531967877381846,0.693,0.55,3.14292365627587e-07,"GON4L"
"ANKZF1",8.44578892317236e-12,0.581920735509847,0.474,0.312,3.18051519268825e-07,"ANKZF1"
"PRMT5",8.4464458280638e-12,0.345107164681569,0.599,0.428,3.18076256993227e-07,"PRMT5"
"ATP2A1",8.44982540812502e-12,3.20282248588955,0.071,0.012,3.18203525219172e-07,"ATP2A1"
"YPEL4",8.47592706899187e-12,-3.01710529270117,0.03,0.114,3.19186461564096e-07,"YPEL4"
"LOC100505761",8.52419912997457e-12,0.710141887792566,0.313,0.169,3.21004290836582e-07,"LOC100505761"
"GINS3",8.57695283039215e-12,1.25331599859665,0.19,0.085,3.22990889686907e-07,"GINS3"
"PKNOX1",8.61456848430515e-12,0.26415634683429,0.733,0.51,3.24407419981963e-07,"PKNOX1"
"GPR12",8.6287913309495e-12,-0.375573127698334,0.531,0.308,3.24943023940896e-07,"GPR12"
"ZNF702P",8.75485851839588e-12,-2.15270378710804,0.327,0.168,3.29690462085752e-07,"ZNF702P"
"ADAM9",8.9666637154869e-12,-1.35423310392113,0.31,0.417,3.37666622197806e-07,"ADAM9"
"VPS33A",9.01033887979324e-12,0.54696380745782,0.781,0.575,3.39311341535254e-07,"VPS33A"
"E2F6",9.04578504164999e-12,0.782224598837552,0.373,0.232,3.40646173098455e-07,"E2F6"
"ERAL1",9.0658631037252e-12,0.600633748650879,0.491,0.346,3.41402272760084e-07,"ERAL1"
"C12orf5",9.07339150179618e-12,0.439888630398963,0.838,0.666,3.41685777174641e-07,"C12orf5"
"CD2BP2",9.16085586386823e-12,0.555186869845377,0.688,0.537,3.4497951012155e-07,"CD2BP2"
"FGF12",9.25096460938906e-12,1.50129124500858,0.105,0.03,3.48372825260373e-07,"FGF12"
"KIF18A",9.4028150899517e-12,1.11945417388319,0.172,0.073,3.54091210657401e-07,"KIF18A"
"BCKDK",9.42334440952757e-12,0.588530863636985,0.613,0.463,3.54864303773989e-07,"BCKDK"
"BAIAP2",9.452106600409e-12,-0.702111220167864,0.62,0.719,3.55947430358202e-07,"BAIAP2"
"MYT1",9.52581690593879e-12,1.68590652398258,0.079,0.016,3.58723213043843e-07,"MYT1"
"EGFL7",9.53046658303977e-12,1.00001229394842,0.209,0.1,3.58898310584112e-07,"EGFL7"
"MT1G",9.65688939207724e-12,-2.18354099573048,0.051,0.146,3.63659140726845e-07,"MT1G"
"FAM175A",9.69646913848331e-12,0.510732258432144,0.332,0.188,3.65149634817005e-07,"FAM175A"
"MEF2BNB",9.78690212923612e-12,0.810358725561714,0.495,0.336,3.68555160382774e-07,"MEF2BNB"
"CTNNAL1",9.91722957513552e-12,-0.51804225634284,0.372,0.514,3.73463031340453e-07,"CTNNAL1"
"PPP1R12B",9.9441716258581e-12,0.542130555003244,0.776,0.577,3.74477615086564e-07,"PPP1R12B"
"APLP1",9.96264851316664e-12,2.30940819251185,0.089,0.021,3.75173417708829e-07,"APLP1"
"HSPD1",1.00265488636229e-11,0.424339452085524,0.959,0.941,3.77579777106311e-07,"HSPD1"
"SMYD3",1.00399202498387e-11,1.43934481812018,0.48,0.334,3.78083316768426e-07,"SMYD3"
"TMEM43",1.0135644618069e-11,-0.880407305058238,0.511,0.593,3.81688105027241e-07,"TMEM43"
