"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CXorf49B",4.16348801863996e-65,6.89604135645233,0.227,0.002,9.86163772095061e-61
"CD63",1.41850757471846e-64,-0.94962565640685,0.91,0.967,3.35987704147814e-60
"SEMA3B",4.62550303034427e-64,-3.40349366834858,0.147,0.481,1.09559664776734e-59
"ANXA2",7.55494049859126e-64,-1.16662909999243,0.851,0.946,1.78946320649633e-59
"GSN",1.14728793118678e-63,-1.525294884602,0.627,0.836,2.717466193809e-59
"RPL8",1.35472206230561e-63,0.408073456966346,0.998,0.995,3.20879467677706e-59
"HNRNPL",1.76022548738415e-63,1.06963240705055,0.92,0.622,4.16927008941809e-59
"PPP2R1A",3.82396380521514e-63,1.09282395911817,0.876,0.68,9.05744066903259e-59
"EIF3K",7.39134636630291e-63,0.997171323979099,0.912,0.737,1.75071430032251e-58
"BCAN",1.01484821798011e-62,0.731862076114523,0.579,0.225,2.4037694891077e-58
"UBA52",1.21148068252711e-62,0.704621670492243,0.994,0.966,2.86951314463371e-58
"OBSCN",2.49531665969167e-62,1.62190343908936,0.433,0.106,5.91040704014569e-58
"TIMP3",5.92383597699314e-62,-1.81837050400779,0.432,0.742,1.40311978951059e-57
"RPS9",9.03456798517683e-62,0.610611372509449,0.977,0.976,2.13992777296898e-57
"MATN2",1.51769102693452e-61,-3.4465052320008,0.112,0.438,3.59480296639711e-57
"CD151",1.54983386150648e-61,-2.49073530766682,0.554,0.731,3.67093648436425e-57
"GAA",2.15687349226663e-61,-2.27084273159514,0.322,0.639,5.10877055378274e-57
"FXYD3",3.12929885770367e-61,-2.04733620636661,0.272,0.612,7.41205727435692e-57
"PROS1",3.40638655053363e-61,-2.41352681379404,0.256,0.589,8.06836718359396e-57
"MLLT11",8.44206279003717e-61,2.24053552599854,0.508,0.174,1.99958699244821e-56
"SGCE",1.67922661765159e-60,-2.17054106724824,0.215,0.55,3.97741616656956e-56
"HMGA1",4.10524487686675e-60,1.32252575933765,0.92,0.798,9.72368301534659e-56
"SAE1",4.1911989233203e-60,1.28097127708483,0.702,0.353,9.92727376977646e-56
"HLA-A",1.51300686272872e-59,-1.27605439548116,0.827,0.921,3.58370805505925e-55
"CD58",1.57021398003322e-59,-2.15684639269027,0.354,0.64,3.71920883310667e-55
"RPL4",1.82021047025546e-59,0.695302816104021,1,0.993,4.31135051984708e-55
"SLC26A2",4.08801072311839e-59,-3.68108639263531,0.703,0.789,9.68286219877822e-55
"RPS11",4.69821614761865e-59,0.729267571782494,0.984,0.973,1.11281947672495e-54
"HLA-H",4.93646513086154e-59,-1.66612297477329,0.758,0.856,1.16925113089586e-54
"RPS15A",7.15352702464396e-59,0.715313641064248,0.985,0.987,1.69438441105717e-54
"PTMA",8.52190941090464e-59,0.848508860368848,0.994,0.992,2.01849946306687e-54
"ISYNA1",8.83554591515695e-59,1.32206070621158,0.822,0.518,2.09278740546408e-54
"RPLP1",9.26188140557695e-59,0.585277281576216,0.999,0.999,2.19376922972496e-54
"FTL",1.03417523645737e-58,0.841698520667586,0.996,0.995,2.44954746507293e-54
"TMC6",1.92158379525327e-58,1.72657426408201,0.543,0.208,4.5514633774369e-54
"SGK1",2.44808324031763e-58,-1.59102445645536,0.587,0.8,5.79852996301634e-54
"RPS8",3.87111175113984e-58,0.670033214509374,0.998,0.997,9.16911529374983e-54
"ATP5B",3.95360968123405e-58,0.913276451359393,0.952,0.883,9.36451989097096e-54
"RPS6",3.97155362670399e-58,0.654326171130589,0.992,0.991,9.40702192021106e-54
"DLL3",4.14736675432465e-58,2.23229637061574,0.407,0.109,9.82345289429336e-54
"NR4A1",6.52914628050442e-58,-2.5423601122577,0.37,0.649,1.54649358800028e-53
"CD9",9.63750302199576e-58,-1.80916016506371,0.348,0.655,2.28273896578992e-53
"CDKN2A",1.01890695006239e-57,1.39824802489247,0.428,0.118,2.41338300191777e-53
"GPI",1.20807086299017e-57,0.914624904784369,0.996,0.934,2.86143664607852e-53
"SNAI2",2.04534812809376e-57,1.47695762174446,0.617,0.276,4.84461157620289e-53
"SF3B4",2.28889657205775e-57,1.20223889143556,0.817,0.532,5.42148042057598e-53
"ADRBK2",4.19536734667725e-57,1.21644644085392,0.747,0.397,9.93714709733973e-53
"TUBA1B",5.19662437214217e-57,1.28940908961461,0.973,0.923,1.23087244878559e-52
"HNRNPA1",6.76940626870626e-57,0.970143315321601,0.981,0.932,1.60340156880576e-52
"MAGED4B",1.53897659051766e-56,3.28094058700705,0.296,0.044,3.64521995230013e-52
"ITGB8",2.02791926186592e-56,-3.8633077013938,0.377,0.603,4.80332956365562e-52
"SERPINA1",6.86906614516474e-56,-4.06216446954737,0.044,0.33,1.62700700714372e-51
"CAPG",8.16836914574706e-56,-1.44548008535027,0.184,0.572,1.93475991586165e-51
"HDGFRP3",1.0272447864543e-55,2.01873205849722,0.434,0.128,2.43313200119566e-51
"TIMM50",1.11080627914067e-55,1.08935341731763,0.85,0.611,2.63105575277259e-51
"USP22",1.54932830675997e-55,1.16153635502103,0.903,0.702,3.66973902739166e-51
"CCT3",1.62236554598386e-55,0.745774851382574,0.961,0.869,3.84273503221738e-51
"APOE",2.29073004992692e-55,-2.0470714779916,0.487,0.719,5.42582319625689e-51
"HNRNPC",2.82137541502107e-55,0.764952752317766,0.952,0.93,6.6827098080189e-51
"MAGED4",5.02197644246093e-55,3.26411322829943,0.286,0.041,1.1895053401613e-50
"CCND3",1.06115889380756e-54,-2.01699701612161,0.366,0.646,2.51346095587259e-50
"DCT",1.89444198949895e-54,2.09933586616271,0.638,0.364,4.48717529632722e-50
"MRPS21",2.7275192662812e-54,0.955357714741718,0.899,0.836,6.46040213411365e-50
"RPS4Y1",3.2301274212135e-54,-1.03244330054736,0.347,0.753,7.6508798098863e-50
"NINL",5.58821331838076e-54,1.97690424798871,0.453,0.142,1.32362420659167e-49
"PASD1",6.76882973304342e-54,5.47109498802497,0.202,0.006,1.60326501056866e-49
"RPL10A",9.58031601326625e-54,0.653343309642394,0.992,0.989,2.26919365090224e-49
"GRN",1.65445992246142e-53,-1.28800091477638,0.753,0.853,3.91875377234211e-49
"RNF2",1.99516772955284e-53,1.42411857087957,0.745,0.434,4.72575428421885e-49
"SCCPDH",2.08450136951402e-53,-1.34316697348974,0.385,0.686,4.9373499438309e-49
"RPL30",2.35045708098794e-53,0.423363712221216,0.989,0.995,5.56729264202804e-49
"YWHAE",2.53623160850199e-53,0.724329875295189,0.985,0.941,6.00731818789781e-49
"PAFAH1B3",4.23272986935616e-53,1.32111522299691,0.703,0.398,1.0025643968557e-48
"GBP2",5.78217159434824e-53,-2.22779957642285,0.127,0.447,1.36956516383732e-48
"PPA1",6.57856373943564e-53,1.31135050007579,0.766,0.524,1.55819860732272e-48
"TPP1",6.58352973013903e-53,-0.975493383664934,0.736,0.894,1.55937485188073e-48
"CD47",8.48204533688543e-53,-1.53426918096294,0.567,0.765,2.00905725849468e-48
"LAMP2",1.57346720936116e-52,-1.15149107642563,0.859,0.92,3.72691443209284e-48
"DDR1",1.79296232400402e-52,-2.73239337671689,0.236,0.521,4.24681056063593e-48
"DDX39B",2.15432857817871e-52,0.991022707475004,0.872,0.714,5.10274267027409e-48
"MYBBP1A",3.10283361990754e-52,1.74913594429568,0.585,0.267,7.34937171211299e-48
"CTPS1",5.84531991042033e-52,1.44692868468329,0.555,0.238,1.38452247398216e-47
"PFDN2",6.8531963996204e-52,1.12074039108282,0.852,0.661,1.62324809921409e-47
"RPL37",7.77198160498791e-52,0.612050773178636,0.979,0.966,1.84087156295744e-47
"RPS4X",1.90500801111866e-51,0.655421138073569,0.993,0.997,4.51220197513566e-47
"RUVBL2",2.26752132446103e-51,1.18210054354905,0.788,0.5,5.37085100911839e-47
"TPM2",2.4097994709831e-51,1.13559622754028,0.438,0.143,5.70785102697056e-47
"CNRIP1",2.62576619239757e-51,1.65506342739799,0.451,0.153,6.21938980331289e-47
"RPS27A",2.85207603738409e-51,0.58456486248262,0.992,0.993,6.75542730214797e-47
"B2M",3.94923439510562e-51,-0.909061496501035,0.896,0.977,9.35415658824717e-47
"RPAIN",6.49324768024966e-51,1.53758040538186,0.724,0.412,1.53799064554393e-46
"NOLC1",7.97360164791181e-51,1.31900824966212,0.728,0.443,1.88862728632439e-46
"H3F3AP4",1.25511366800594e-50,1.13703578377625,0.896,0.808,2.97286223403888e-46
"SLC5A4",1.56217076490749e-50,-0.503512261291068,0.238,0.023,3.70015767375989e-46
"KIAA0101",3.18409480373353e-50,2.25678845572399,0.676,0.357,7.54184695212323e-46
"CBX5",3.47743808645997e-50,1.36505185326192,0.968,0.902,8.23665985158908e-46
"TUFM",5.4617635374187e-50,0.929049901174239,0.878,0.712,1.29367331147299e-45
"XRCC5",6.49845538647842e-50,0.959967894548626,0.914,0.801,1.53922414284128e-45
"VDAC2",7.2562271907167e-50,1.12891940907439,0.842,0.64,1.71870997239316e-45
"CDCA7",1.15244758889146e-49,1.50409129815354,0.424,0.133,2.72968735904831e-45
"RDH5",2.66404170046311e-49,-4.51959316480245,0.058,0.322,6.31004917171691e-45
"LGALS1",3.03411518392792e-49,-0.856118526531568,0.8,0.946,7.18660522465166e-45
"FAM3C",4.21743872852188e-49,-2.1327255046226,0.25,0.538,9.98942537237692e-45
"CS",4.80459912400032e-49,0.993991825705349,0.868,0.687,1.13801734851072e-44
"FBLN2",6.17530986335612e-49,3.40131731392275,0.224,0.021,1.46268389423453e-44
"TIMP2",6.27182279302942e-49,-1.4415699663937,0.633,0.805,1.48554394675695e-44
"SRP14",1.50964803505471e-48,0.73847838518509,0.962,0.931,3.57575233583058e-44
"PGAM1",1.81944575631174e-48,1.09239053448251,0.882,0.711,4.30953921839998e-44
"SAT1",2.08005460910356e-48,-0.86009581192863,0.804,0.946,4.9268173471227e-44
"LEF1-AS1",2.64008002258764e-48,-4.59144009253997,0.035,0.287,6.25329354150109e-44
"PRSS23",3.18245314215467e-48,-1.66130515371447,0.258,0.567,7.53795851250755e-44
"THOC5",4.43706525142152e-48,1.39709841930403,0.605,0.28,1.0509632754517e-43
"ARHGAP4",5.93312663665576e-48,1.78367036272095,0.432,0.142,1.40532037515828e-43
"SHMT2",6.12406228143453e-48,1.22876935032749,0.758,0.479,1.45054539198058e-43
"LGALS3BP",1.08012462502735e-47,-0.875720618789676,0.737,0.899,2.55838318683977e-43
"S100A1",1.09640238235783e-47,-1.67072187324278,0.347,0.645,2.59693868285276e-43
"SNRPE",1.31164664886803e-47,1.12885391208619,0.912,0.842,3.10676625250881e-43
"CTSL1",1.60066379177883e-47,-2.03972404021306,0.627,0.791,3.79133225720733e-43
"ADAMTS7",1.78758229342605e-47,3.54417869306105,0.218,0.021,4.23406742020895e-43
"GPC3",4.46224198019996e-47,5.77335717053872,0.235,0.03,1.05692663543016e-42
"DDX5",4.66034591349216e-47,-0.784565660260909,0.944,0.94,1.10384953306975e-42
"FAM174B",5.20421601697973e-47,1.51451665628839,0.526,0.231,1.23267060578182e-42
"RPL31",5.92773949839585e-47,0.689044735269572,0.987,0.992,1.40404437759004e-42
"RPS10",6.54382183277625e-47,0.66502882580588,0.968,0.974,1.54996963931138e-42
"CCT2",7.40203821185517e-47,1.21095725306181,0.864,0.693,1.75324677086002e-42
"NDUFS2",7.81978441713694e-47,0.935517528973385,0.868,0.646,1.85219413704306e-42
"S100B",8.18364060932045e-47,-1.0947808177334,0.653,0.911,1.93837711472364e-42
"EIF2S3",8.94569973282739e-47,0.744604487941223,0.962,0.904,2.11887843871749e-42
"TP53I11",1.00945384021755e-46,5.3341898713959,0.24,0.034,2.3909923659393e-42
"EEA1",1.01007951107127e-46,-1.94861086688017,0.458,0.676,2.3924743299234e-42
"ATP5G2",1.12835260943435e-46,0.599551455380168,0.97,0.962,2.67261599070621e-42
"JUN",1.90272042762616e-46,-2.38383448938698,0.537,0.699,4.50678360487533e-42
"SLC25A3",2.08630948014612e-46,0.713369266412518,0.967,0.922,4.9416326346741e-42
"RPS18",2.69650087235778e-46,0.486387915260481,0.998,0.998,6.38693196626665e-42
"CARD16",3.02305626463921e-46,-2.61410861024036,0.103,0.38,7.16041106842443e-42
"FAM110B",3.96138215495689e-46,2.95451877528025,0.241,0.033,9.3829297722309e-42
"MDH2",4.22068177519602e-46,0.792290638728325,0.92,0.8,9.9971068527293e-42
"FYB",4.36209547070288e-46,-2.35703399001084,0.082,0.361,1.03320593319068e-41
"RPL17",4.5567403713421e-46,0.636745722026591,0.992,0.99,1.07930952435609e-41
"RPL29",4.72915209335833e-46,0.560778909661349,0.989,0.986,1.12014696483285e-41
"DDX50",5.36965839821038e-46,1.48426996186592,0.564,0.259,1.27185728820011e-41
"CREB5",5.47241273543251e-46,-2.16987470645844,0.115,0.394,1.29619568051454e-41
"PA2G4",8.06155408569142e-46,1.12569168160711,0.886,0.761,1.90945970073687e-41
"ITM2B",8.22373701204205e-46,-1.00711975238889,0.761,0.858,1.94787434867228e-41
"TYMS",9.33878352028553e-46,1.61123111101624,0.507,0.206,2.21198426461483e-41
"RPL13A",1.1718073892672e-45,0.665119038012631,0.981,0.915,2.77554298221829e-41
"ARID3B",1.41013171257965e-45,2.49383025848259,0.326,0.08,3.34003797441616e-41
"DUSP6",1.5046718452853e-45,-1.2441185502647,0.599,0.822,3.56396573274277e-41
"SKP2",2.22606409629696e-45,1.61042371452791,0.784,0.524,5.27265541848898e-41
"GAGE2A",2.3679151246981e-45,6.80095097247257,0.171,0.005,5.60864376435992e-41
"ZBED3-AS1",3.72805090723372e-45,3.72680332587699,0.229,0.029,8.8302613788738e-41
"NPC1",4.28762278916581e-45,-2.19552718071242,0.41,0.632,1.01556633384181e-40
"PRAME",5.12779954726614e-45,0.933186509505875,0.941,0.86,1.21457060076546e-40
"AEN",6.22903184811681e-45,1.49825823557026,0.6,0.303,1.47540848354495e-40
"KIF13B",6.29910382156222e-45,-2.59944227127373,0.158,0.435,1.49200573117523e-40
"PRSS21",6.6721771141498e-45,4.68006695357095,0.177,0.008,1.58037187125752e-40
"SDC3",6.8295926610606e-45,-1.4489951936289,0.444,0.692,1.61765731769881e-40
"LY6K",8.06419135063459e-45,2.21078635913588,0.314,0.074,1.91008436331131e-40
"HENMT1",9.32766700914445e-45,2.45586194855224,0.286,0.06,2.20935120778595e-40
"PRKCDBP",1.16285695582065e-44,-2.28161682807405,0.29,0.557,2.75434298555679e-40
"HOXA10",1.33571734185025e-44,2.81380587922259,0.285,0.059,3.16378009590649e-40
"MPP7",2.06704984829282e-44,1.53694823829052,0.525,0.21,4.89601427066638e-40
