"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MTCL1",2.19704070710954e-14,-3.3790618462878,0.032,0.161,4.68496960384038e-10
"RDH11",2.1981696545327e-14,0.96504921255166,0.348,0.17,4.68737697132552e-10
"ABCF1",2.27648784975906e-14,0.677923301038094,0.521,0.296,4.85438269082622e-10
"CSGALNACT1",2.29338236772538e-14,0.92122236619563,0.117,0.023,4.89040856093761e-10
"ZNF644",2.30809421821657e-14,0.985305397904621,0.335,0.16,4.92178011092501e-10
"LPCAT2",2.38748787146618e-14,-3.58164033209322,0.013,0.13,5.09107913711449e-10
"RSRC2",2.40578358838675e-14,0.710077767437758,0.629,0.404,5.1300929238759e-10
"NOL11",2.53441436092429e-14,1.01541405069094,0.259,0.103,5.40438518323495e-10
"ITSN2",2.56083088798336e-14,0.776342562433304,0.366,0.174,5.46071578553572e-10
"SMYD2",2.56469394448228e-14,0.618844198166656,0.33,0.148,5.46895336721401e-10
"RAD50",2.70774870559335e-14,0.93927887192816,0.354,0.171,5.77400333980726e-10
"C9orf142",2.71355189312672e-14,-1.42372817211095,0.35,0.472,5.78637805690342e-10
"RMI2",2.72099222471682e-14,-3.88107140847752,0.019,0.138,5.80224381998614e-10
"CHD2",2.73465162711491e-14,0.976255220067258,0.367,0.181,5.83137112965984e-10
"COX20",2.77200857910105e-14,-0.832519789365754,0.617,0.684,5.91103109407507e-10
"ACADVL",2.78346193513911e-14,0.439020313507439,0.731,0.482,5.93545423049064e-10
"EHBP1L1",2.90104920794105e-14,-2.37746528779044,0.062,0.207,6.1861973310135e-10
"TFF1",2.9245526478355e-14,-0.481943806202344,0.059,0.208,6.23631606624442e-10
"AKR1C3",2.96214732744284e-14,0.76955344057667,0.629,0.397,6.31648296103912e-10
"CALM3",3.09301480682497e-14,-1.21251530939125,0.426,0.516,6.59554477407356e-10
"MUC5B",3.09742648090513e-14,-1.94307931967571,0.098,0.249,6.6049522278821e-10
"GBAS",3.10861789830852e-14,0.932509813627623,0.405,0.205,6.62881680635309e-10
"TWISTNB",3.14002613455565e-14,0.833744901929121,0.352,0.17,6.69579172932648e-10
"PSORS1C2",3.14176990746768e-14,-6.65682927399521,0,0.102,6.69951015068409e-10
"CDK4",3.15721014716311e-14,-1.70576082307378,0.335,0.448,6.73243491781061e-10
"PSMB9",3.32012755631469e-14,-1.69732172669278,0.299,0.436,7.07984000108545e-10
"SEPHS2",3.47334424755928e-14,1.47892953050464,0.116,0.023,7.40655927349541e-10
"KIAA1109",3.50694495422972e-14,1.10046579643264,0.244,0.098,7.47820942039946e-10
"TNNT1",3.56393745454491e-14,-0.975852309555471,0.167,0.348,7.59974022807156e-10
"GLRX2",3.57832385458371e-14,0.781975733808099,0.347,0.162,7.63041778751429e-10
"LENG8",3.58678960957284e-14,-1.92604564486009,0.186,0.342,7.64847016345312e-10
"DENND4A",3.95812348730368e-14,0.976869834423042,0.233,0.089,8.44030252432637e-10
"XPC",4.05051683669995e-14,0.775957875943684,0.273,0.112,8.63732210257898e-10
"WWOX",4.08685645236732e-14,1.31194612927943,0.172,0.052,8.71481269902807e-10
"EXOC4",4.08980365010203e-14,0.71377264622561,0.265,0.107,8.72109730347757e-10
"MDFI",4.10137001451812e-14,-3.10259573866865,0.025,0.148,8.74576141895843e-10
"LAS1L",4.15770683777105e-14,1.35656283314845,0.197,0.068,8.86589406086299e-10
"MFSD3",4.19020630885397e-14,0.967703072502502,0.322,0.147,8.9351959330002e-10
"SEMA3C",4.21096471828888e-14,-1.87722392058852,0.087,0.241,8.97946116527922e-10
"YBX3",4.21205817815139e-14,-0.939248555301135,0.384,0.544,8.98179285909003e-10
"SKIV2L",4.24437659507636e-14,1.423520366823,0.186,0.06,9.05070865134083e-10
"AGL",4.25433559977587e-14,0.973758155076381,0.242,0.094,9.07194523296206e-10
"CDC73",4.29312472320866e-14,0.808663528511605,0.345,0.165,9.15465915977015e-10
"RBBP4",4.33319932775148e-14,-1.3099895071517,0.43,0.525,9.24011424649725e-10
"NXPH4",4.39323908139281e-14,-6.21021204994019,0.004,0.109,9.36814301716203e-10
"SH3BGRL2",4.41274337128388e-14,-2.15205170465699,0.08,0.226,9.40973396492575e-10
"PEG10",4.4487950658275e-14,-3.08798891111332,0.034,0.163,9.48661059837057e-10
"DNM1L",4.48153739785705e-14,1.21739431167268,0.256,0.106,9.55643034719037e-10
"ICA1",4.50584642554959e-14,-1.93083427613482,0.055,0.196,9.60826691784194e-10
"L3HYPDH",4.63968704479795e-14,1.70317111101564,0.131,0.031,9.89366865432715e-10
"SLC16A1-AS1",4.65794450688693e-14,1.91836198834868,0.152,0.042,9.93260086648569e-10
"HIST1H2BC",4.79764172213809e-14,0.881128156268576,0.155,0.043,1.02304912082873e-09
"PANK1",4.89614792788418e-14,1.03175166306311,0.205,0.071,1.04405458414202e-09
"KLHL24",4.95131984991132e-14,0.692711718080701,0.318,0.14,1.05581944479509e-09
"SLC17A9",4.95462486015227e-14,0.941978808918948,0.203,0.07,1.05652420517887e-09
"ZNF664",4.98335754503418e-14,-2.07925634468897,0.206,0.35,1.06265116290309e-09
"EIF2AK1",5.01387392953021e-14,0.624162871475286,0.441,0.235,1.06915847673302e-09
"ZNF680",5.13740144616947e-14,0.978024455824833,0.182,0.057,1.09549948438118e-09
"RBM34",5.29901196816168e-14,1.47653911703407,0.129,0.03,1.1299613120908e-09
