"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CLDN10",5.93659637830695e-06,-1.05204525335308,0.07,0.122,0.138376124981957
"ACAA2",5.94721019433264e-06,0.338018615516374,0.345,0.268,0.1386235224197
"TRABD",5.96350012070277e-06,-0.563477610707218,0.266,0.337,0.139003224313461
"RBM41",6.05722129078544e-06,-0.714047427945879,0.085,0.141,0.141187771066918
"GK5",6.08372094814766e-06,-0.782298045988827,0.058,0.108,0.141805451580374
"NTF4",6.10818003717789e-06,0.716174895814905,0.1,0.056,0.142375568486579
"JAK2",6.1604919704623e-06,0.744439118145852,0.166,0.11,0.143594907339506
"PEX6",6.19013267435498e-06,-0.744709060759308,0.052,0.1,0.14428580250654
"ZNF600",6.24123998288299e-06,-0.689959969348826,0.14,0.205,0.14547706276102
"ZDHHC5",6.26658597565288e-06,-0.507991921338035,0.178,0.246,0.146067852506493
"CITED2",6.319540273483e-06,0.324965240309223,0.458,0.382,0.147302164234615
"ERI1",6.33081265963569e-06,-0.974433191129003,0.1,0.156,0.147564912283448
"EIF3B",6.35975040637795e-06,-0.587198119918787,0.242,0.316,0.148239422222264
"GDAP2",6.38168868733099e-06,-0.69920922580659,0.14,0.204,0.148750781612998
"STK17A",6.40100534384977e-06,0.648186823819285,0.495,0.443,0.149201033559794
"STAP2",6.52660384470171e-06,-0.315257149824233,0.446,0.516,0.152128609016152
"AVPI1",6.52747071895639e-06,-1.07443935900061,0.129,0.188,0.152148814988154
"NFIL3",6.53180148077353e-06,-0.433260314859333,0.119,0.184,0.15224976071535
"PIAS4",6.53499265674384e-06,-0.782520815355262,0.098,0.155,0.152324143836042
"RNF144B",6.5541879372447e-06,-0.392393356010287,0.238,0.316,0.152771566629237
"NDUFAF3",6.63497026592867e-06,0.452657410093964,0.276,0.205,0.154654521928531
"JKAMP",6.64227563737352e-06,0.376518110632239,0.295,0.217,0.154824802831539
"LSG1",6.74738904048349e-06,-0.637658244526754,0.253,0.318,0.15727489114463
"EPHX2",6.7961822628072e-06,0.946708899331211,0.166,0.112,0.158412212363773
"TSEN15",6.84197055833186e-06,0.405246966085203,0.241,0.173,0.159479491744157
"SGTA",6.90869694872344e-06,-0.479523757999587,0.287,0.358,0.161034817177795
"RAB30",6.96747969363789e-06,-0.968306746364264,0.095,0.15,0.162404984179006
"COA6",7.07637599122151e-06,0.563070288655198,0.407,0.343,0.164943247979382
"CHMP3",7.20523785810294e-06,0.335973768044623,0.347,0.27,0.167946889234521
"EIF5A",7.29973134871943e-06,-0.300629236743753,0.787,0.817,0.170149438007301
"GRAMD3",7.39118223603201e-06,0.683896989812093,0.151,0.098,0.17228106673967
"CNOT1",7.40337517147188e-06,-0.515126584071644,0.319,0.388,0.172565271871838
"ZZEF1",7.49208416216918e-06,-0.826386461729284,0.106,0.165,0.174632989736001
"CBX4",7.52761149885569e-06,0.359753875005286,0.228,0.158,0.175461096426827
"ITCH",7.544728715188e-06,-0.533156794308191,0.247,0.317,0.175860081622317
"PAWR",7.56686256030693e-06,0.446429461541788,0.516,0.446,0.176375999418194
"FAM206A",7.59435329614291e-06,0.576546798396785,0.196,0.135,0.177016780979795
"SMIM3",7.60533388889773e-06,-0.715577301224956,0.137,0.201,0.177272727616317
"ZNF408",7.65646041182817e-06,-0.816768645951397,0.097,0.154,0.178464435739303
"CELF1",7.78780482561858e-06,-0.366213144464056,0.431,0.492,0.181525942680344
"HMBOX1",7.78887870920335e-06,-0.489618462909845,0.236,0.309,0.181550973832821
"ABCD3",7.88441572401287e-06,0.553594773264598,0.21,0.148,0.183777846111016
"NCK2",7.88938601704224e-06,0.595011995413428,0.163,0.108,0.183893698671238
"GON4L",7.91915452979608e-06,-0.455055170703939,0.258,0.33,0.184587572935017
"GPATCH3",8.09638638393261e-06,-0.577408588431009,0.084,0.139,0.188718670223085
"ATP8B1",8.14939160434964e-06,-0.709113371314294,0.145,0.209,0.189954168905786
"URB2",8.15042426054652e-06,-0.739631245915745,0.084,0.138,0.189978239089079
"POLR2H",8.17628405269552e-06,-0.472456972284176,0.385,0.44,0.19058100498428
